date,track,artist,streams,day_of_week,week_of_year
2023-11-30,Santa Tell Me,Ariana Grande,18610534,Thursday,48
2023-12-07,All I Want for Christmas Is You,Mariah Carey,48242745,Thursday,49
2023-12-07,Feliz Navidad,José Feliciano,20317400,Thursday,49
2023-12-07,It's Beginning to Look a Lot Like Christmas,Michael Bublé,27899303,Thursday,49
2023-12-07,Jingle Bell Rock,Bobby Helms,33402002,Thursday,49
2023-12-07,Last Christmas,Wham!,44176139,Thursday,49
2023-12-07,Rockin' Around the Christmas Tree,Brenda Lee,38756976,Thursday,49
2023-12-07,Santa Tell Me,Ariana Grande,29089107,Thursday,49
2023-12-14,All I Want for Christmas Is You,Mariah Carey,47232471,Thursday,50
2023-12-14,Feliz Navidad,José Feliciano,20852799,Thursday,50
2023-12-14,It's Beginning to Look a Lot Like Christmas,Michael Bublé,27973507,Thursday,50
2023-12-14,Jingle Bell Rock,Bobby Helms,30951467,Thursday,50
2023-12-14,Last Christmas,Wham!,43334690,Thursday,50
2023-12-14,Rockin' Around the Christmas Tree,Brenda Lee,37617587,Thursday,50
2023-12-14,Santa Tell Me,Ariana Grande,29109961,Thursday,50
2023-12-21,All I Want for Christmas Is You,Mariah Carey,53338897,Thursday,51
2023-12-21,Feliz Navidad,José Feliciano,24768891,Thursday,51
2023-12-21,It's Beginning to Look a Lot Like Christmas,Michael Bublé,31456354,Thursday,51
2023-12-21,Jingle Bell Rock,Bobby Helms,35098833,Thursday,51
2023-12-21,Last Christmas,Wham!,49239617,Thursday,51
2023-12-21,Rockin' Around the Christmas Tree,Brenda Lee,44792976,Thursday,51
2023-12-21,Santa Tell Me,Ariana Grande,33816577,Thursday,51
2023-12-28,All I Want for Christmas Is You,Mariah Carey,75826005,Thursday,52
2023-12-28,Feliz Navidad,José Feliciano,39496130,Thursday,52
2023-12-28,It's Beginning to Look a Lot Like Christmas,Michael Bublé,44884310,Thursday,52
2023-12-28,Jingle Bell Rock,Bobby Helms,51705845,Thursday,52
2023-12-28,Last Christmas,Wham!,71138282,Thursday,52
2023-12-28,Rockin' Around the Christmas Tree,Brenda Lee,62796483,Thursday,52
2023-12-28,Santa Tell Me,Ariana Grande,48192239,Thursday,52
2024-01-04,Last Christmas,Wham!,7914063,Thursday,1
2024-11-07,All I Want for Christmas Is You,Mariah Carey,11279139,Thursday,45
2024-11-07,Last Christmas,Wham!,9923635,Thursday,45
2024-11-14,All I Want for Christmas Is You,Mariah Carey,14796703,Thursday,46
2024-11-14,Jingle Bell Rock,Bobby Helms,8712411,Thursday,46
2024-11-14,Last Christmas,Wham!,13711333,Thursday,46
2024-11-14,Rockin' Around the Christmas Tree,Brenda Lee,9561847,Thursday,46
2024-11-14,Santa Tell Me,Ariana Grande,8672931,Thursday,46
2024-11-21,All I Want for Christmas Is You,Mariah Carey,21363813,Thursday,47
2024-11-21,It's Beginning to Look a Lot Like Christmas,Michael Bublé,9941240,Thursday,47
2024-11-21,Jingle Bell Rock,Bobby Helms,13038832,Thursday,47
